レシピID,料理の種類,料理の説明,原材料,作り方
11,焼き魚,"シンプルに塩で味付けした焼き魚です。","魚, 塩","魚を洗い、塩をまぶす。グリルで焼く。"
12,煮物,"野菜と魚介の優しい味の煮物です。","魚, 野菜, だし, 醤油, 砂糖, みりん","野菜と魚を切る。鍋にだしを入れ、全ての材料を煮る。"
13,肉じゃが,"肉とじゃがいもの人気の煮物料理です。","豚肉, じゃがいも, 玉ねぎ, 人参, だし, 醤油, 砂糖, みりん, サラダ油","材料を切り、鍋で炒める。調味料を加え、煮る。"
14,カレーライス,"日本の家庭料理の定番です。","肉, 野菜, カレールー, 米, 水","肉と野菜を炒め、水を加えて煮る。ルーを加えてさらに煮る。米と一緒に供する。"
15,冷やし中華,"夏に人気の冷たい麺料理です。","中華麺, キュウリ, ハム, トマト, 卵, 冷やし中華のたれ","麺を茹で、冷ます。具材を切り、麺の上にのせる。たれをかける。"
16,鳥の唐揚げ,"揚げ物の定番、鳥の唐揚げです。","鶏肉, 小麦粉, 醤油, にんにく, 酒, サラダ油","鶏肉に調味料をまぶし、小麦粉をコーティングする。熱した油で揚げる。"
17,おにぎり,"日本の伝統的なお弁当の一品です。","米, 塩, 海苔, おにぎりの具(梅、サケ、昆布など)","米を炊き、塩を加えて形成する。具を中に入れ、海苔で包む。"
18,茶碗蒸し,"滑らかな食感の蒸し料理です。","卵, だし, 醤油, みりん, 鶏肉, しいたけ, えび","材料を混ぜ、茶碗に入れる。蒸し器で蒸す。"
19,鍋物,"寒い季節にぴったりの鍋料理です。","豚肉, 鶏肉, 魚介, 野菜, だし, 醤油, みりん","鍋にだしを入れ、材料を加えて煮る。"
20,卵焼き,"甘みのあるふわふわの焼き卵です。","卵, 砂糖, 醤油, みりん, サラダ油","卵と調味料を混ぜ、フライパンで焼く。"
21,味噌カツ,"味噌で味付けされた豚カツです。","豚肉, 味噌, 小麦粉, 卵, パン粉, サラダ油","豚肉に味噌を塗り、小麦粉、卵、パン粉の順につける。油で揚げる。"
22,ぞうすい,"残ったご飯を使ったスープ料理です。","米, だし, 醤油, みりん, 鶏肉, 野菜, 卵","だしでスープを作り、米、鶏肉、野菜を加えて煮る。卵を加える。"
23,おでん,"色々な具材を煮込んだ冬の定番料理です。","だし, おでんの具(大根、こんにゃく、卵など), 醤油, みりん","だしに具材を加え、じっくり煮る。"
24,豚汁,"豚肉と野菜のハーティな味噌スープです。","豚肉, 味噌, 野菜, だし","豚肉を炒め、野菜を加えて炒める。だしを加え、煮る。味噌を溶かす。"
25,海鮮丼,"新鮮な魚介類の上に乗せた丼ぶりです。","米, 魚介(マグロ、イクラなど), 醤油, わさび","米を炊く。魚介を切り、米の上にのせる。醤油をかける。"
26,納豆巻き,"納豆を使ったシンプルな巻き寿司です。","納豆, 海苔, 米, 醤油, ネギ","米を炊く。納豆、ネギ、醤油を混ぜ、海苔で巻く。"
27,きのこの炊き込みご飯,"きのこを使った香り豊かなご飯です。","米, きのこ, だし, 醤油, みりん, 酒","米を洗い、きのこ、だし、調味料と一緒に炊く。"
28,揚げ出し豆腐,"外はカリッ、中はふわっとした豆腐の料理です。","豆腐, 小麦粉, サラダ油, だし, 醤油, みりん, ねぎ","豆腐を小麦粉でコーティングし、揚げる。だしでソースを作り、かける。"
29,鶏飯,"鶏肉の旨味が染み込んだご飯です。","鶏肉, 米, 醤油, みりん, 酒, ショウガ, ネギ","鶏肉を炒め、調味料と一緒に米と炊く。"
30,筑前煮,"野菜と鶏肉の煮物です。","鶏肉, 人参, ごぼう, だし, 醤油, みりん, 砂糖","鶏肉と野菜を切り、だしと調味料で煮る。"
31,お好み焼き,"具材を入れた日本のパンケーキです。","キャベツ, 小麦粉, 卵, 豚肉, えび, だし, ソース, マヨネーズ","材料を混ぜて生地を作る。フライパンで両面を焼く。ソースとマヨネーズをかける。"
32,たこ焼き,"タコを入れた小さな球形のスナックです。","小麦粉, だし, タコ, 天かす, たこ焼きソース, マヨネーズ, 青のり, かつおぶし","材料を混ぜて生地を作る。たこ焼き器で焼く。ソース、マヨネーズ、青のり、かつおぶしをトッピングする。"
33,焼きそば,"麺と野菜を炒めた料理です。","中華麺, 豚肉, 野菜, 焼きそばソース, 青のり, 紅しょうが","材料を炒める。焼きそばソースで味付けする。青のりと紅しょうがをトッピングする。"
34,鰻丼,"甘辛いタレのかかった鰻の蒲焼をご飯の上にのせた料理です。","うなぎ, 米, うなぎのタレ, きざみネギ, しょうがの甘酢漬け","うなぎを焼く。ご飯を炊く。うなぎとタレをご飯の上にのせ、ネギとしょうがをトッピングする。"
35,炊き込みご飯,"具材と一緒に炊いたご飯です。","米, 鶏肉, しいたけ, 人参, だし, 醤油, みりん, サケ","米を洗う。具材と調味料と一緒に炊飯器で炊く。"
36,豆腐の味噌汁,"豆腐と野菜の優しい味のスープです。","豆腐, 野菜, だし, 味噌","だしを沸かす。豆腐と野菜を加えて煮る。火を止めてから味噌を溶かす。"
37,八宝菜,"野菜と鶏肉、エビを炒めた料理です。","鶏肉, エビ, 野菜, 醤油, みりん, 片栗粉, 水","鶏肉とエビを炒める。野菜を加えて炒める。調味料と水溶き片栗粉を加え、とろみをつける。"
38,かぼちゃの煮物,"かぼちゃを甘く煮た料理です。","かぼちゃ, だし, 醤油, みりん, 砂糖","かぼちゃを切る。だしと調味料で煮る。"
39,ポテトサラダ,"和風のポテトサラダです。","ジャガイモ, キュウリ, ハム, マヨネーズ, 塩, コショウ","ジャガイモを茹でて潰す。キュウリとハムを切る。全てを混ぜ、塩コショウで味を調える。"
40,茶碗蒸し,"出汁と卵を使ったやわらかい蒸し料理です。","卵, だし, 醤油, みりん, エビ, 鶏肉, しいたけ, ほうれん草","卵とだしと調味料を混ぜる。具材を入れて蒸す。"
41,鶏の唐揚げ,"鶏肉を揚げた日本の人気のある料理です。","鶏肉, 醤油, みりん, にんにく, しょうが, 片栗粉, サラダ油","鶏肉に調味料を揉み込む。片栗粉をまぶして、熱した油で揚げる。"
42,牛丼,"牛肉と玉ねぎを甘辛く煮て、ご飯の上にのせた料理です。","牛肉, 玉ねぎ, だし, 醤油, みりん, 砂糖, 米","牛肉と玉ねぎを炒める。調味料を加えて煮る。ご飯の上にのせる。"
43,スパゲッティカルボナーラ,"クリーミーで濃厚なイタリアンパスタ","スパゲッティ,パンチェッタ,卵黄,パルミジャーノチーズ,塩,黒胡椒","スパゲッティを茹でる,パンチェッタを炒める,チーズと卵黄を混ぜ合わせる,パスタにソースを和える,塩コショウで味を調える"
44,チキンパルメザン,"サクサクのチキンにトマトソースとチーズをトッピング","鶏の胸肉,パン粉,パルメザンチーズ,卵,小麦粉,トマトソース,モッツァレラチーズ,オリーブオイル,塩,黒胡椒","鶏肉に塩コショウをしパン粉を付ける,オリーブオイルで揚げる,トマトソースとチーズをトッピング,オーブンで焼く"
45,シーザーサラダ,"クリスピーなレタスにクリーミーなドレッシングをかけたサラダ","ロメインレタス,クルトン,パルメザンチーズ,アンチョビ,にんにく,オリーブオイル,卵黄,レモン汁,塩,黒胡椒","レタスとクルトンを混ぜる,ドレッシングを作る,サラダにドレッシングをかける,チーズをトッピングする"
46,ビーフシチュー,"柔らかい肉と野菜がたっぷり入った濃厚なシチュー","牛肉,人参,じゃがいも,玉ねぎ,ニンニク,トマトペースト,ビーフストック,ローズマリー,タイム,塩,黒胡椒,小麦粉","牛肉を茶色になるまで炒める,野菜を加えて炒める,トマトペーストとビーフストックを加える,ハーブを加えて煮込む"
47,エッグベネディクト,"ポーチドエッグにハムとオランデーズソースをのせた朝食","イングリッシュマフィン,ハム,卵,白ワインビネガー,バター,レモン汁,カイエンペッパー,塩","イングリッシュマフィンをトーストする,ポーチドエッグを作る,オランデーズソースを作る,ハムとポーチドエッグをマフィンにのせソースをかける"
48,マルゲリータピザ,"シンプルながら風味豊かなイタリアンピザ","ピザ生地,トマトソース,モッツァレラチーズ,バジル,オリーブオイル,塩","生地にトマトソースを塗る,スライスしたモッツァレラをトッピング,バジルを散らす,オーブンで焼く"
49,ガーリックシュリンプ,"にんにくの効いたオイルでじっくりと焼き上げたエビ料理","大エビ,にんにく,オリーブオイル,レモン汁,パセリ,赤唐辛子,塩","エビをオリーブオイルとにんにくで炒める,レモン汁とパセリ、唐辛子を加える,塩で味を調える"
50,フィッシュアンドチップス,"サクサクの天ぷらに手作りタルタルソースが決め手","白身魚,小麦粉,ビール,じゃがいも,マヨネーズ,ピクルス,レモン,塩,油","魚とポテトをビール生地で揚げる,タルタルソースを作る,レモンを添えて提供"
51,ビーフウェリントン,"肉の旨味を閉じ込め、パイ生地でカリッと焼き上げる","牛フィレ肉,マッシュルーム,パイ生地,卵,塩,黒胡椒,ディジョンマスタード","マッシュルームを炒める,肉に塩コショウとマスタードを塗る,パイ生地で包む,オーブンで焼く"
52,クラムチャウダー,"クリーミーなスープに貝の旨味が溶け込んだ一品","あさり,ベーコン,じゃがいも,玉ねぎ,セロリ,ニンニク,小麦粉,牛乳,クリーム,塩,黒胡椒","ベーコンと野菜を炒める,あさりを加える,ミルクとクリームを加えて煮込む,塩コショウで味を調える"
53,シーフードパエリア,"色とりどりのシーフードが魅力のスペイン料理","米,エビ,イカ,ムール貝,鶏肉,トマト,ピーマン,サフラン,ニンニク,チキンブイヨン,オリーブオイル,塩","米を炒める,具材を加える,ブイヨンを注ぎサフランを加える,煮込む"
54,ブイヤベース,"フランスの伝統的な魚介のスープ","魚介類の切り身,玉ねぎ,にんにく,トマト,セロリ,フェンネル,サフラン,魚介スープ,塩,黒胡椒,オリーブオイル","具材をオリーブオイルで炒める,スープを加えて煮込む,塩コショウで味を調える"
55,キッシュロレーヌ,"厚なクリームとベーコンの塩気がクセになる","パイ生地,ベーコン,玉ねぎ,卵,クリーム,ナツメグ,塩,黒胡椒","ベーコンと玉ねぎを炒める,卵とクリームを混ぜる,パイ生地に具と卵液を流し入れる,オーブンで焼く"
56,ローストチキン,"香ばしく焼き上げたジューシーなチキン","鶏の丸焼き,塩,黒胡椒,ローズマリー,タイム,にんにく,オリーブオイル","鶏肉に塩コショウとハーブをすり込む,オーブンでじっくり焼く"
57,ラタトゥイユ,"夏野菜をふんだんに使ったフランスの野菜煮込み","ズッキーニ,茄子,ピーマン,トマト,玉ねぎ,にんにく,オリーブオイル,塩,黒胡椒","ハーブドプロヴァンス,野菜をざく切りにしオリーブオイルで炒める,トマトを加えて煮込む,ハーブで味を調える"
58,リゾット,"クリーミーでとろけるイタリアンリゾット","アルボリオ米,ブイヨン,ワイン,パルメザンチーズ,バター,玉ねぎ,にんにく,塩,黒胡椒","米を炒める,ワインを加える,ブイヨンを少しずつ加える,チーズとバターを混ぜる"
59,ポテトサラダ,"クリーミーでさっぱりした味わいのサイドメニュー","じゃがいも,キュウリ,玉ねぎ,マヨネーズ,マスタード,塩,黒胡椒,砂糖,ビネガー","じゃがいもを茹でる,野菜を細かく切る,全てを混ぜ合わせマヨネーズで和える"
60,コーンスープ,"甘みのあるコーンを使ったクリーミーなスープ","コーン,玉ねぎ,バター,小麦粉,チキンブイヨン,ミルク,塩,黒胡椒","コーンと玉ねぎをバターで炒める,小麦粉を加える,ブイヨンとミルクを加えて煮込む,塩コショウで味を調える"
61,シーザードリンク,"レモンとトマトのフレッシュな味わいのカクテル","トマトジュース,ウォッカ,レモン汁,ウスターソース,タバスコ,セロリ,塩,黒胡椒","全ての材料をシェーカーに入れてよく振る,グラスに注ぎ、セロリを添える"
62,ブルーベリーパンケーキ,"ふわふわのパンケーキにブルーベリーが爽やか","小麦粉,砂糖,ベーキングパウダー,塩,卵,牛乳,バター,ブルーベリー","バターを溶かす,全ての材料を混ぜる,フライパンで焼く,ブルーベリーをトッピングする"
